ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
TuxType,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://tux4kids.alioth.debian.org/tuxtype/," TuxTyping is an educational typing tutor for kids starring Tux, the Linux penguin. This educational game comes with two different games for practicing your typing, and having a great time doing it.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
tuxtype,,ΓΛΩΣΣΑ#ΑΓΓΛΙΚΑ,ΠΡΟΣΧΟΛΙΚΗ,https://tux4kids.alioth.debian.org/tuxtype/,Εκμάθηση πλήκτρων στον υπολογιστή,,,,
TwinSpace,ΣΥΝΕΡΓΑΤΙΚΗ ΠΛΑΤΦΟΡΜΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://twinspace.etwinning.net/login,Συνεργαστική πλατφόρμα e-twinning,,ΠΛΑΤΦΟΡΜΑ,"ONLINE
",
Valentina,"ΚΑΤΑΣΚΕΥΗ - ΕΠΕΞΕΡΓΑΣΙΑ ΠΑΤΡΟΝ 
",ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,"
http://valentina-project.org/","Κατασκευή- Επεξεργασία Πατρόν
",OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
","CROSSPLATFORM
",
VideoLAN Movie Creator,ΕΠΕΞΕΡΓΑΣΙΑ ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.videolan.org/vlmc/,Εφαρμογή επεξεργασία βίντεο,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Virtual box,"ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.virtualbox.org/,Virtualization,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Virtual Magnifying Glass,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://magnifier.sourceforge.net/,Μεγέθυνση Οθόνης,,"ΕΦΑΡΜΟΓΗ
","Linux, Unix, MacOSX, Windows",
VirtualX,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://virtualx.sourceforge.net,Πλατφόρμες eLearning,,,,
VLC ,"ΒΙΝΤΕΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.videolan.org/vlc/),Εφαρμογή αναπαραγωγής βίντεο,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
WebQuest,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://webquest.org/index.php,,,OER,,
Wevideo,ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.wevideo.com/,Online Επεξεργασία βίντεο,,ONLINE,ONLINE,
Winbraille,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",,λογισμικό για την μετατροπή κειμένου σε μορφή Braille.,Freeware,"ΕΦΑΡΜΟΓΗ
",,
WINE,"
ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.winehq.org/,Windows Emulator,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Wireshark,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.wireshark.org/,"Το Wireshark είναι ένα ελεύθερο και ανοιχτού κώδικα λογισμικό ανάλυσης πρωτοκόλλων δικτύου υπολογιστών. Χρησιμοποιείται για ανάλυση δικτύου, παρακολούθηση δικτύου, εντοπισμό και αντιμετώπιση προβλημάτων στα δίκτυα και για εκπαίδευση.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
XnView,"ΔΙΑΧΕΙΡΙΣΗ ΦΩΤΟΓΡΑΦΙΩΝ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.xnview.com/en/,"Διαχείριση - επεξεργασία Φωτογραφιών
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
xplanets,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΑΣΤΡΟΝΟΜΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://xplanet.sourceforge.net/,"Xplanet was inspired by Xearth, which renders an image of the earth into the X root window. All of the major planets and most satellites can be drawn, similar to the Solar System Simulator. A number of different map projections are also supported, including azimuthal, Lambert, Mercator, Mollweide, orthographic, and rectangular. ",OPEN SOURCE,"
",CROSSPLATFORM,
Zentyal,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.zentyal.org/,Microsoft Exchange alternative on Linux.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
